ip_range,account_id,region,parent_block
10.128.0.0/22,079382933451,eu-west-1,10.128.0.0/14
10.128.4.0/22,079382933451,eu-west-1,10.128.0.0/14
10.128.8.0/22,799022891239,eu-west-1,10.128.0.0/14
10.128.12.0/22,090055978113,eu-west-1,10.128.0.0/14
10.128.16.0/22,013453632133,eu-west-1,10.128.0.0/14
10.128.20.0/22,108782058603,eu-west-1,10.128.0.0/14
10.128.24.0/22,767828754908,eu-west-1,10.128.0.0/14
10.128.28.0/22,471744311299,eu-west-1,10.128.0.0/14
10.128.32.0/22,107570341490,eu-west-1,10.128.0.0/14
10.130.0.0/24,753953229562,eu-west-1,10.128.0.0/14
10.130.1.0/24,135728408183,eu-west-1,10.128.0.0/14
10.130.2.0/24,905876141559,eu-west-1,10.128.0.0/14
10.130.3.0/24,079382933451,eu-west-1,10.128.0.0/14
10.130.4.0/24,975869647093,eu-west-1,10.128.0.0/14
10.130.5.0/24,544422817324,eu-west-1,10.128.0.0/14
10.130.6.0/24,301892525228,eu-west-1,10.128.0.0/14
10.130.7.0/24,865624890496,eu-west-1,10.128.0.0/14
10.130.8.0/24,623213169507,eu-west-1,10.128.0.0/14
10.130.9.0/24,911453050078,eu-west-1,10.128.0.0/14
10.130.10.0/24,271772249701,eu-west-1,10.128.0.0/14
10.130.11.0/24,078453322683,eu-west-1,10.128.0.0/14
10.130.12.0/24,013453632133,eu-west-1,10.128.0.0/14
10.130.13.0/24,853429921224,eu-west-1,10.128.0.0/14
10.130.14.0/24,078453322683,eu-west-1,10.128.0.0/14
10.130.15.0/24,411064266612,eu-west-1,10.128.0.0/14
10.130.16.0/24,702942474976,eu-west-1,10.128.0.0/14
10.130.17.0/24,013453632133,eu-west-1,10.128.0.0/14
10.130.18.0/24,910220757785,eu-west-1,10.128.0.0/14
10.130.19.0/24,350774346140,eu-west-1,10.128.0.0/14
10.130.20.0/24,019490601891,eu-west-1,10.128.0.0/14
10.130.21.0/24,144183047489,eu-west-1,10.128.0.0/14
10.130.22.0/24,133998870989,eu-west-1,10.128.0.0/14
10.130.23.0/24,078453322683,eu-west-1,10.128.0.0/14
10.130.24.0/24,794296798061,eu-west-1,10.128.0.0/14
10.130.25.0/24,533174132782,eu-west-1,10.128.0.0/14
10.130.26.0/24,703991429509,eu-west-1,10.128.0.0/14
10.130.27.0/24,328722480406,eu-west-1,10.128.0.0/14
10.130.28.0/24,908101911960,eu-west-1,10.128.0.0/14
10.130.29.0/24,013453632133,eu-west-1,10.128.0.0/14
10.130.30.0/24,562474801279,eu-west-1,10.128.0.0/14
10.130.31.0/24,013453632133,eu-west-1,10.128.0.0/14
10.130.32.0/24,654654515057,eu-west-1,10.128.0.0/14
10.130.33.0/24,026090544750,eu-west-1,10.128.0.0/14
10.130.34.0/24,329599660537,eu-west-1,10.128.0.0/14
10.130.35.0/24,013453632133,eu-west-1,10.128.0.0/14
10.136.0.0/22,320063451603,eu-central-1,10.136.0.0/14
10.136.4.0/22,789431703521,eu-central-1,10.136.0.0/14
10.136.8.0/22,881267245737,eu-central-1,10.136.0.0/14
10.136.12.0/22,893569739659,eu-central-1,10.136.0.0/14
10.136.16.0/22,893569739659,eu-central-1,10.136.0.0/14
10.136.20.0/22,706370317738,eu-central-1,10.136.0.0/14
10.136.24.0/22,495467222175,eu-central-1,10.136.0.0/14
10.136.28.0/22,269132892972,eu-central-1,10.136.0.0/14
10.136.32.0/22,883535314275,eu-central-1,10.136.0.0/14
10.136.36.0/22,585856864837,eu-central-1,10.136.0.0/14
10.136.40.0/22,810965881435,eu-central-1,10.136.0.0/14
10.136.44.0/22,165361074946,eu-central-1,10.136.0.0/14
10.136.48.0/22,013453632133,eu-central-1,10.136.0.0/14
10.136.52.0/22,209479273692,eu-central-1,10.136.0.0/14
10.138.0.0/24,452422222159,eu-central-1,10.136.0.0/14
10.138.1.0/24,668273420038,eu-central-1,10.136.0.0/14
10.138.2.0/24,090055978113,eu-central-1,10.136.0.0/14
10.138.3.0/24,626293586879,eu-central-1,10.136.0.0/14
10.138.4.0/24,626293586879,eu-central-1,10.136.0.0/14
10.138.5.0/24,078453322683,eu-central-1,10.136.0.0/14
10.138.6.0/24,279065545731,eu-central-1,10.136.0.0/14
10.138.7.0/24,073971890859,eu-central-1,10.136.0.0/14
10.138.8.0/24,350774346140,eu-central-1,10.136.0.0/14
10.138.9.0/24,623213169507,eu-central-1,10.136.0.0/14
10.138.10.0/24,925651263656,eu-central-1,10.136.0.0/14
10.138.11.0/24,911453050078,eu-central-1,10.136.0.0/14
10.138.12.0/24,058264297480,eu-central-1,10.136.0.0/14
10.138.13.0/24,284342531743,eu-central-1,10.136.0.0/14
10.138.14.0/24,767397808304,eu-central-1,10.136.0.0/14
10.138.15.0/24,476222600614,eu-central-1,10.136.0.0/14
